"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
39,"Bachelors,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
50,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","13,","United-States,","<=50K"
38,"HS-grad,","Divorced,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
53,"11th,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
28,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Female,","40,","Cuba,","<=50K"
37,"Masters,","Married-civ-spouse,","Exec-managerial,","Female,","40,","United-States,","<=50K"
49,"9th,","Married-spouse-absent,","Other-service,","Female,","16,","Jamaica,","<=50K"
52,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","45,","United-States,",">50K"
31,"Masters,","Never-married,","Prof-specialty,","Female,","50,","United-States,",">50K"
42,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
37,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","80,","United-States,",">50K"
30,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","India,",">50K"
23,"Bachelors,","Never-married,","Adm-clerical,","Female,","30,","United-States,","<=50K"
32,"Assoc-acdm,","Never-married,","Sales,","Male,","50,","United-States,","<=50K"
40,"Assoc-voc,","Married-civ-spouse,","Craft-repair,","Male,","40,","?,",">50K"
34,"7th-8th,","Married-civ-spouse,","Transport-moving,","Male,","45,","Mexico,","<=50K"
25,"HS-grad,","Never-married,","Farming-fishing,","Male,","35,","United-States,","<=50K"
32,"HS-grad,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
38,"11th,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
43,"Masters,","Divorced,","Exec-managerial,","Female,","45,","United-States,",">50K"
40,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","60,","United-States,",">50K"
54,"HS-grad,","Separated,","Other-service,","Female,","20,","United-States,","<=50K"
35,"9th,","Married-civ-spouse,","Farming-fishing,","Male,","40,","United-States,","<=50K"
43,"11th,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
59,"HS-grad,","Divorced,","Tech-support,","Female,","40,","United-States,","<=50K"
56,"Bachelors,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,",">50K"
19,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
54,"Some-college,","Married-civ-spouse,","?,","Male,","60,","South,",">50K"
39,"HS-grad,","Divorced,","Exec-managerial,","Male,","80,","United-States,","<=50K"
49,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
23,"Assoc-acdm,","Never-married,","Protective-serv,","Male,","52,","United-States,","<=50K"
20,"Some-college,","Never-married,","Sales,","Male,","44,","United-States,","<=50K"
45,"Bachelors,","Divorced,","Exec-managerial,","Male,","40,","United-States,","<=50K"
30,"Some-college,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
22,"Some-college,","Married-civ-spouse,","Other-service,","Male,","15,","United-States,","<=50K"
48,"11th,","Never-married,","Machine-op-inspct,","Male,","40,","Puerto-Rico,","<=50K"
21,"Some-college,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
19,"HS-grad,","Married-AF-spouse,","Adm-clerical,","Female,","25,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Sales,","Male,","38,","?,",">50K"
48,"Assoc-acdm,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
31,"9th,","Married-civ-spouse,","Machine-op-inspct,","Male,","43,","United-States,","<=50K"
53,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,","<=50K"
24,"Bachelors,","Married-civ-spouse,","Tech-support,","Male,","50,","United-States,","<=50K"
49,"HS-grad,","Separated,","Adm-clerical,","Female,","40,","United-States,","<=50K"
25,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","35,","United-States,","<=50K"
57,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
53,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","38,","United-States,","<=50K"
44,"Masters,","Divorced,","Exec-managerial,","Female,","40,","United-States,","<=50K"
41,"Assoc-voc,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
29,"Assoc-voc,","Never-married,","Prof-specialty,","Male,","43,","United-States,","<=50K"
25,"Some-college,","Married-civ-spouse,","Exec-managerial,","Female,","40,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Other-service,","Female,","30,","?,","<=50K"
47,"Prof-school,","Married-civ-spouse,","Prof-specialty,","Female,","60,","Honduras,",">50K"
50,"Bachelors,","Divorced,","Exec-managerial,","Male,","55,","United-States,",">50K"
47,"HS-grad,","Divorced,","Exec-managerial,","Male,","60,","United-States,","<=50K"
43,"Some-college,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,",">50K"
46,"5th-6th,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","Mexico,","<=50K"
35,"Assoc-voc,","Married-civ-spouse,","Other-service,","Male,","40,","Puerto-Rico,","<=50K"
41,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Male,","48,","United-States,","<=50K"
30,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
30,"Bachelors,","Married-civ-spouse,","Sales,","Male,","40,","United-States,","<=50K"
32,"7th-8th,","Married-spouse-absent,","?,","Male,","40,","?,","<=50K"
48,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
42,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,",">50K"
29,"Some-college,","Divorced,","Tech-support,","Male,","58,","United-States,","<=50K"
36,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
28,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
53,"HS-grad,","Married-civ-spouse,","Adm-clerical,","Female,","40,","United-States,",">50K"
49,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
25,"Some-college,","Never-married,","?,","Male,","40,","United-States,","<=50K"
19,"Some-college,","Never-married,","Prof-specialty,","Male,","32,","United-States,","<=50K"
31,"Bachelors,","Separated,","Sales,","Female,","40,","United-States,","<=50K"
29,"Bachelors,","Married-civ-spouse,","Sales,","Male,","70,","United-States,",">50K"
23,"Some-college,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
